id;titre;publication;date_debut;date_fin;adherent;description_introduction;description_presentation;description_complementaire;langues;territoires;themes;site_web;site_reservation;site_avis;geo_point_2d;altitude;capacite;moyenspaiement;prestations;multimedia_url_video;multimedia_url_photo;multimedia_url_son;multimedia_url_pdf;multimedia_credits;social_url;classement_categories;classement_labels;classement_guides;classement_chaines;classement_tourisme_et_handicap;classement_etoiles;classement_epis;classement_cles;classement_cheminees;classement_cocottes;type_etab;raison_sociale_etab;adr_etab;code_postal_etab;commune_etab;code_insee_etab;cedex_etab;bureau_distrib_etab;province_etab;pays_etab;personne_civilite_etab;personne_prenom_etab;personne_nom_etab;personne_tel1_etab;personne_tel2_etab;personne_tel3_etab;personne_fax1_etab;personne_fax2_etab;personne_mel1_etab;personne_mel2_etab;personne_mel3_etab;type_info;raison_sociale_info;adr_info;code_postal_info;commune_info;code_insee_info;cedex_info;bureau_distrib_info;province_info;pays_info;personne_civilite_info;personne_prenom_info;personne_nom_info;personne_tel1_info;personne_tel2_info;personne_tel3_info;personne_fax1_info;personne_fax2_info;personne_mel1_info;personne_mel2_info;personne_mel3_info;periode_nom_1;periode_date_debut_1;periode_date_fin_1;periode_detail_1;periode_nom_2;periode_date_debut_2;periode_date_fin_2;periode_detail_2;periode_nom_3;periode_date_debut_3;periode_date_fin_3;periode_detail_3;periode_nom_4;periode_date_debut_4;periode_date_fin_4;periode_detail_4;periode_nom_5;periode_date_debut_5;periode_date_fin_5;periode_detail_5;periode_nom_6;periode_date_debut_6;periode_date_fin_6;periode_detail_6;tarif_nom_1;tarif_standard_1;tarif_devise_1;tarif_min_1;tarif_max_1;tarif_description_1;tarif_nom_2;tarif_standard_2;tarif_devise_2;tarif_min_2;tarif_max_2;tarif_description_2;tarif_nom_3;tarif_standard_3;tarif_devise_3;tarif_min_3;tarif_max_3;tarif_description_3;tarif_nom_4;tarif_standard_4;tarif_devise_4;tarif_min_4;tarif_max_4;tarif_description_4;tarif_nom_5;tarif_standard_5;tarif_devise_5;tarif_min_5;tarif_max_5;tarif_description_5;tarif_nom_6;tarif_standard_6;tarif_devise_6;tarif_min_6;tarif_max_6;tarif_description_6;tarif_devise_7;tarif_devise_8;tarif_devise_9;tarif_devise_10
8c47057b;GITE AU BON CAP;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;www.gitescapgrisnez.com;;;50.8661103, 1.5908139;;4.0;;;;;;;;;;Gîtes de France;;;;;3;;;;;La Rose des Vents;Hameau de Framezelle;62179;AUDINGHEN;62054;;;;;M;;Contou;00 33(0)6 17 40 39 77;;;;;pcontou@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93a73718;GITE DE LA FERME SAINT JEAN;;;;;;;;;Calais Côte d'Opale;Meublés et Gîtes;;;;50.8246224, 1.5949577;;6.0;;;;;;;;;;Locations CléVacances;;;;;;2;;;;Gîte de la Ferme St Jean;151 Rue Alexandre Guilmant;62164;AUDRESSELLES;62056;;;;;M;;Randoux;00 33 (0)3 21 32 96 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f7f6ea9f;LA ROULOTTE RENO BEBA;;;;;;;;;Calais Côte d'Opale;"Hébergement insolite;Meublés et Gîtes";;;;50.7896218, 1.7501774;;2.0;;;;;;;;;;;;;;;;;;;;La Roulotte Reno Beba;1702 rue de Sainte Godeleine;62720;WIERRE-EFFROY;62889;;;;;;;;00 33 (0)3 21 33 74 50;;;;;michele.baude@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c9068f6a;GITE DE MR BOUTOILLE;;;;;;;;;Calais Côte d'Opale;Meublés et Gîtes;;;;50.8870888, 1.6649624;;7.0;;;;;;;;;;;;;;;;;;;;Gîte de Mr Boutoille;12 Rue au Sablé;62179;WISSANT;62899;;;;;M;;Boutoille;00 33 (0)6 37 83 10 07;;;;;henriette.boutoille@live.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195ae577;GITE LA MICHAUDIERE;;;;;;;;;Calais Côte d'Opale;Meublés et Gîtes;www.amivac.com/location_vacances.asp?cli=27530&mb=2;;;50.887932, 1.668929;;8.0;;;;;;;;;;;;;;3;;;;;;Gîte La Michaudière;40 rue Paul Crampel;62179;WISSANT;62899;;;;;M;;Fourdinier;00 33 (0)3 21 35 95 82;00 33 (0)6 02 25 85 96;;;;jeanpaul.fourdinier@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ada7aec;GITE LE MOULIN;;;;;;;;;Calais Côte d'Opale;Meublés et Gîtes;http://lemoulin-wissant.com;;;50.886665, 1.6631284;;6.0;;;;;;;;;;Locations CléVacances;;;;;;1;;;;Gîte Le Moulin;1 Rue Arlette Davids;62179;WISSANT;62899;;;;;M;;Coenen;00 33 (0)3 21 35 91 87;;;;;moulin.wissant@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74a82c16;GITES LE RIDENS;;;;;;;;;Calais Côte d'Opale;Furnished flats and gites;;;;50.8864736, 1.6639343;;;;;;;;;;;;;;;;2;;;;;;Gîtes Le Ridens;4 Rue Jules Ferry;62179;WISSANT;62899;;;;;M;;Henrard;00 33 (0)6 11 10 51 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a70741f8;GITE GRAIN DE SABLE;;;;;;;;;Calais Côte d'Opale;Meublés et Gîtes;http://graindesablewissant.blogspot.fr;;;50.8878349, 1.6663408;;3.0;;;;;;;;;;Locations CléVacances;;;;;;2;;;;Gîte Grain de Sable;23 Rue au Sablé;62179;WISSANT;62899;;;;;M;;Leurent;00 33 (0)6 87 14 46 87;;;;;catleurent@aol.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
723244f8;AU PETIT TAMBOUR D'AUTINGUES;;;;;;;;English;Calais Côte d'Opale;Chambre d'hôtes;www.petit-tambour.com;;;50.839525, 1.986161;;;Chèques Vacances;"Animaux acceptés;Parking;Wifi";;;;;;;;;;;;;3;;;;;Au petit tambour;288 Rue de Louches;62610;ARDRES;62038;;;;;Mme;Agnès;De Saint Just;+33 (0)3 21 36 25 38;;;;;contact@petit-tambour.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.0;90.0;Petit déjeuner inclus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54c42b48;CHAMBRES D'HOTES DES TROIS PAYS;;;;;;;;English;Calais Côte d'Opale;;;;;50.806257, 1.812797;;;;"Barbecue;Garage;Parking";;;;;;;;Locations CléVacances;;;;;;2;;;;Chambres d'Hôtes des Trois-Pays;17 Rue de Marquise;62132;HARDINGHEN;62412;;;;;Mme;Séverine;Evrard;+33 (0)3 21 33 93 99;;;;;juseve@free.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0;45.0;Petit déjeuner inclus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104417b8;LA MAISON BLANCHE;;;;;;;;English;Calais Côte d'Opale;;;;;50.823433, 1.961367;;;Chèques Vacances;"Animaux acceptés;Billard;Parking;Pétanque;Wifi";;;;;;;;Gîtes de France;;;;;2;;;;;La Maison Blanche;556 Rue de la Mairie;62250;LANDRETHUN-LE-NORD;62487;;;;;Mme;Marie-Anne;Isidor;+33 (0)3 21 82 72 98;;;;;marie-anne.isidor@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;70.0;petit déjeuner inclus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589ef5f9;MME THERESE DELAMARLERE;;;;;;;;;Calais Côte d'Opale;Chambre d'hôtes;;;;50.787988, 1.994912;;;Chèques Vacances;"Garage;Parking";;;;;;;;;;;;;;;;;;Mme Thérèse Delamarlere;693 Rue du Parc;62890;AUDREHEM;62055;;;;;Mme;Thèrèse;Delamarlere;+33 (0)3 21 35 06 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.0;50.0;Petit déjeuner inclus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5239dbaa;LA CLAIRE SOURCE (gite 2 épis);;;;;;;;;Calais Côte d'Opale;;www.laclairesource.fr;;;50.874649, 1.898002;;10.0;Chèques Vacances;Animaux acceptés;;;;;;;;Gîtes de France;;;;;2;;;;;la Claire source;"rue du pont à vaches
Le Marais";62340;GUÎNES;62397;;;;;Mme;Brigitte;Michaux;+33 (0)6 24 68 70 75;;;;;brigitte.michaux@sfr.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;160.0;500.0;;Au week-end;;;80.0;300.0;;Location draps (la paire);;;7.0;;;;;;;;;;;;;;;;;;;;;;;;
fe968b86;LA CLOSERIE DE L'EPINETTE;;;;;;;;"English;Español";Calais Côte d'Opale;;www.gite-epinette.com;;;50.798691, 1.824087;;5.0;;Télévision;;;;;;;;Gîtes de France;;;;;2;;;;;La Closerie de l'Epinette;3 Route de boursin;62132;HARDINGHEN;62412;;;;;M;Denis;Watier;+33 (0)3 21 85 61 70;;;;;watier.denis@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;285.0;390.0;;Au week-end;;;190.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecfecde3;LES DIX MESURES;;;;;;;;;Calais Côte d'Opale;;;;;50.828564, 1.898242;;4.0;Chèques Vacances;"Animaux acceptés;Télévision";;;;;;;;Gîtes de France;;;;;3;;;;;Les dix mesures;28 Rue du sac;62340;BOUQUEHAULT;62161;;;;;Mme;Valérie;Verschelle;+33 (0)3 21 85 86 68;+33 (0)6 22 69 00 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;280.0;340.0;;Au week-end;;;130.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aa5174bd;GITE DU MARAIS;;;;;;;;English;Calais Côte d'Opale;;;;;50.887003, 1.926133;;4.0;;"Animaux acceptés;Télévision";;;;;;;;Locations CléVacances;;;;;;3;;;;Gîte du Marais;2924 Route des Attaques;62340;GUÎNES;62397;;;;;Mme;;Boulanger;+33 (0)3 21 36 77 06;+33 (0)6 16 20 15 68;;;;v62boulanger@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;259.0;400.0;;Au week-end;;;135.0;;;Location de linge;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;
6007b4c1;L'AUTHENTIQUE;;;;;;;;"English;Español";Calais Côte d'Opale;;www.gitelandredthun.fr.gd;;;50.825721, 1.959839;;4.0;;"Animaux acceptés;Télévision;Wifi";;;;;;;;Gîtes de France;;;;;;;;;;L'Authentique;87 Rue de l'église;62610;LANDRETHUN-LÈS-ARDRES;62488;;;;;M;François;Boyez;+33 (0)6 87 65 91 43;;;;;gitelandrethun@hotmail.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;230.0;250.0;;Au week-end;;;120.0;;;Location de draps/lits/séjours;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;
14515d9a;LE PONANT;;;;;;;;English;Calais Côte d'Opale;;www.aumanoir.com;;;50.96241, 1.851558;;2.0;Chèques Vacances;Télévision;;;;;;;;Locations CléVacances;;;;;;2;;;;Le Ponant;11 Rue Jubilin;62100;CALAIS;62193;;;;;M;;Roger;+33 (0)3 21 85 97 78;+33 (0)6 15 03 06 21;;;;roger@aumanoir.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A la semaine;;;340.0;480.0;;Au week-end;;;200.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0c55b09f;LA VILLA BELLE;;;;;;;;;Boulonnais;Chambre d'hôtes;www.lavillabelle.com;;;50.745365, 1.755775;;;;;;;;;;;;;;;;;;;;;;La villa Belle;64 bis, Impasse de l'Eglise;62142;BELLE-ET-HOULLEFORT;62105;;;;;M;;Roussel;+33 (0)3 21 32 96 47;+33 (0)6 62 00 41 12;;;;info@lavillabelle.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b306f04a;MR ET MME QUINDROIT;;;;;;;;;Boulonnais;;;;;50.6883238, 1.8758256;;4.0;;"Animaux acceptés;Parking;Salon;Terrasse;Toilettes";;;;;;;;Locations CléVacances;;;;;;2;;;;Mr et Mme Quindroit;102 route de selles;62240;MENNEVILLE;62566;;;;;M;Françoise;Quindroit;+33 (0)3 21 91 51 61;+33 (0)6 72 93 89 62;;;;francoisequindroit@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2159fbee;LE CHEMIN DES HAILLURES;;;;;;;;;Boulonnais;Chambre d'hôtes;;;;50.693021, 1.865656;;2.0;;;;;;;;;;;;;;;;;;;;Le chemin des haillures;22 rue du Cantinard;62240;SELLES;62786;;;;;M;;Debove;+33 (0)3 21 10 48 60;+33 (0)6 84 25 51 22;;;;lechemindeshaillures@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1f03e917;HOTEL NEPTUNE;;;2013-12-31;;;Idéalement situé en front de mer à coté du complexe Agora, des bars et des restaurants, à deux pas du centre ville, vous serez séduit par la vue panoramique  qu’offre la plupart des chambres.<br><br>Les chambres sont toutes confortables avec salle de bains ou douche individuelle, wc, séche cheveux, bureau, porte bagage, coffre fort, wifi gratuit dans la chambre.<br><br>OUVERT de Janvier à Décembre;Chambres(63);English;Canche Authie;Hotels;www.hotelneptuneberck.com;;;50.409584, 1.5613;;;;;;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/6e9bd4df/HOTNPC0620000051-1.jpg;;;;;Hôtels/Tourisme;Club Hôtelier de Berck;;;;2;;;;;;HOTEL NEPTUNE;32 Esplanade Parmentier;62600;BERCK-SUR-MER;62108;;;;France;;;;+33 (0)3 21 09 21 21;;;+33 (0)3 21 09 29 29;;laurencevignon62@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cff73b73;HOTEL LE REGINA;;;;;;A 200 mètres de la magnifique plage de BERCK, vous serez sous le charme de cette grande demeure dont l'architecture balnéaire rappelle les années folles. Pour une nuit ou pour un séjour nous vous proposons 44 chambres standard, 37 chambres supérieures et 11 studios clévacances.;;"English;Español";Canche Authie;Hotel-restaurants;www.hotelreginaberck.com;;;50.402582, 1.56218;;;;;;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/163ba6d4/HOTNPC0620000053-1.jpg;;;;;Hôtels/Sans étoile;Club Hôtelier de Berck;;;;;;;;;;HOTEL LE REGINA;40 rue de Lhomel;62600;BERCK-SUR-MER;62108;;;;France;;;;03 21 09 13 55;;;03 21 84 59 95;;reservation@hotelreginaberck.com;;;;;;;;;;;;;;;;;;;;;;;;Ouverture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1b192ca6;HOTEL AU GRE DU VENT;;;;;;A 2 pas de la longue plage de sable, nous vous accueillons dans une maison de charme entièrement renovée .<br><br> OUVERT de Février à Décembre;Chambres(9);English;Canche Authie;Hotel-restaurants;www.augreduvent.com;;;50.406808, 1.560999;;;;;;;;;;;Hôtels/2 étoiles;"Club Hôtelier de Berck;Logis de France";Le petit futé;;;2;;;;;;HOTEL AU GRE DU VENT;17 rue du Calvaire;62600;BERCK-SUR-MER;62108;;;;France;;;;03 21 09 03 42;;;03 21 84 75 24;;augreduvent2@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
db5e891a;AUBERGE DE LA CANCHE;;;;;;;;;Canche Authie;Hotel-restaurants;www.aubergedelacanche.com;;;50.490375, 1.731652;;;;;;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/9526e4dd/HOTNPC0620000063-1.jpg;;;;;Hotels/2 sterren;Club « Terroirs, saveurs et Hostellerie du Pays de Montreuil »;;;;2;;;;;;AUBERGE DE LA CANCHE;3 route national;62170;BEUTIN;62124;;;;France;;;;03 21 06 59 98;;;03 21 06  12 67;;contact@aubergedelacanche.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Petit-déjeuner;;;;;;Chambre simple;;;;;;Chambre double;;;;;;Chambre triple;;;;;;;;;;;;;;;;;;;;;
7f9ac347;HOTEL CERISE BETHUNE;;;;;;L'hôtel CERISE Béthune est situé à Beuvry, à 5 km du centre-ville de Béthune<br>CERISE Béthune est au coeur de la zone d'activités du Moulin et de la zone hôtelière.<br><br>OUVERT de Janvier à décembre;Chambre double/triple : <br>37€ la semaine <br>39€ le weekend<br>42€ en période événementielle <br><br>Chambres(56);;Artois;Hotels;www.cerise-hotels-resorts.com;;;50.543108, 2.685943;;;;;;"http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/7e104c1a/HOTNPC0620000065-1.jpg;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/7e104c1a/HOTNPC0620000065-3.JPG;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/7e104c1a/HOTNPC0620000065-2.JPG;http://www.pas-de-calais-tourisme.com/wp-content/uploads/photos/cdt62_hebergements/7e104c1a/HOTNPC0620000065-4.jpg";;;;;Hotels/Prefecture hotel;;;;;;;;;;;HOTEL CERISE BETHUNE;"Rue A. Lamendin
Parc d'Activité du Moulin";62660;BEUVRY;62126;;;;France;;;;+33 (0)3 21 65 95 95;;;+33 (0)3 21 64 91 87;;cerise.bethune@exhore.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d825d107;HOTEL LE DELTAPLANE;;;;;;Près de de la mer et à 1k500 de la cité Europe ainsi que de Marques Avenue.<br><br> OUVERT de janvier à Décembre;;;Calais Côte d'Opale;Hotel-restaurants;;;;50.958197, 1.821989;;;;;;;;;;;Hotels/No stars;;;;;;;;;;;HOTEL LE DELTAPLANE;55 rte Nationale;62231;BLERIOT-PLAGE;62774;;;;France;;;;03 21 96 90 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Demi-pension;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
